iterations,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
6049,0.488002126,0.508304932,0.433155082,0.131608263,0.386406379,0.261067187,0.996949905,0.995811965,0.982090828,1.004165578,1.003676519,0.192104209,0.185705323,0.255842288,1.019874878,0.996325032,1.009871153,1.012531939,0.990684616,1.019266812,0.236288591
6050,0.487927577,0.509241015,0.431677726,0.133796857,0.38747886,0.260969697,0.996858816,0.996804976,0.982119986,1.006854841,1.005285122,0.191287008,0.184665202,0.256774125,1.017718548,0.998455199,1.005975535,1.011231475,0.992662629,1.018746674,0.235594857
6051,0.487927577,0.509241015,0.431677726,0.133796857,0.38747886,0.260969697,0.996858816,0.996804976,0.982119986,1.006854841,1.005285122,0.191287008,0.184665202,0.256774125,1.017718548,0.998455199,1.005975535,1.011231475,0.992662629,1.018746674,0.235594857
6052,0.487785283,0.509430534,0.431676576,0.131713655,0.385372568,0.260541796,0.9968675,0.999963112,0.98356203,1.009818398,1.003644385,0.192023217,0.182197865,0.258554334,1.020523147,0.997729895,1.004302507,1.011010358,0.990303178,1.017706933,0.235377615
6053,0.487963345,0.509484281,0.431550805,0.134740087,0.385526675,0.261464906,0.996454013,1.000703259,0.983441904,1.009786441,1.002789307,0.19460851,0.182326176,0.260975832,1.020444437,0.99570109,1.002735941,1.01052092,0.991198867,1.01682102,0.233970086
6054,0.487963345,0.509484281,0.431550805,0.134740087,0.385526675,0.261464906,0.996454013,1.000703259,0.983441904,1.009786441,1.002789307,0.19460851,0.182326176,0.260975832,1.020444437,0.99570109,1.002735941,1.01052092,0.991198867,1.01682102,0.233970086
6055,0.487966301,0.508670391,0.42976801,0.132981607,0.385977274,0.261241824,0.998369961,1.002327787,0.98710815,1.007282074,1.00341235,0.196644017,0.180143677,0.260462068,1.018637195,0.994554754,1.00193387,1.008642313,0.99123487,1.02034661,0.236572594
6056,0.48797188,0.509118082,0.432012628,0.130245881,0.384806616,0.262017766,0.997992434,1.003931888,0.981927143,1.00662083,1.000420565,0.197531605,0.182294972,0.258435277,1.018107184,0.997778868,1.002694884,1.007097203,0.99194848,1.017992463,0.235150367
6057,0.48797188,0.509118082,0.432012628,0.130245881,0.384806616,0.262017766,0.997992434,1.003931888,0.981927143,1.00662083,1.000420565,0.197531605,0.182294972,0.258435277,1.018107184,0.997778868,1.002694884,1.007097203,0.99194848,1.017992463,0.235150367
6058,0.48797188,0.509118082,0.432012628,0.130245881,0.384806616,0.262017766,0.997992434,1.003931888,0.981927143,1.00662083,1.000420565,0.197531605,0.182294972,0.258435277,1.018107184,0.997778868,1.002694884,1.007097203,0.99194848,1.017992463,0.235150367
6059,0.489071922,0.508790987,0.430845188,0.12997279,0.386934381,0.263780542,1.002196922,1.003580644,0.980832484,1.009738891,0.999398239,0.195104655,0.185476066,0.257653186,1.017025538,0.993679579,1.00383019,1.006319142,0.991363444,1.019901634,0.235836325
6060,0.489071922,0.508790987,0.430845188,0.12997279,0.386934381,0.263780542,1.002196922,1.003580644,0.980832484,1.009738891,0.999398239,0.195104655,0.185476066,0.257653186,1.017025538,0.993679579,1.00383019,1.006319142,0.991363444,1.019901634,0.235836325
6061,0.489071922,0.508790987,0.430845188,0.12997279,0.386934381,0.263780542,1.002196922,1.003580644,0.980832484,1.009738891,0.999398239,0.195104655,0.185476066,0.257653186,1.017025538,0.993679579,1.00383019,1.006319142,0.991363444,1.019901634,0.235836325
6062,0.489339216,0.508657561,0.432477838,0.132261915,0.387408936,0.264225716,1.004863467,1.004677651,0.97888302,1.007228129,0.998452906,0.194477448,0.187389139,0.257887344,1.01694541,0.993355162,1.000868878,1.009537442,0.988856659,1.020170606,0.234260854
6063,0.489339216,0.508657561,0.432477838,0.132261915,0.387408936,0.264225716,1.004863467,1.004677651,0.97888302,1.007228129,0.998452906,0.194477448,0.187389139,0.257887344,1.01694541,0.993355162,1.000868878,1.009537442,0.988856659,1.020170606,0.234260854
6064,0.489053759,0.509377192,0.435383703,0.128559289,0.388148693,0.261146712,1.003776625,1.006409566,0.981853731,1.00829723,0.998150977,0.197182001,0.18806319,0.258601265,1.018891202,0.993716395,0.999745149,1.011455349,0.986870799,1.017383465,0.234069219
6065,0.48898144,0.509834251,0.435770094,0.129112927,0.385066516,0.26058043,1.001414532,1.005126775,0.982692042,1.009432812,0.994319692,0.196207576,0.186006219,0.258201899,1.019688863,0.994601812,0.997728865,1.013180195,0.989240538,1.015194033,0.235620462
6066,0.48898144,0.509834251,0.435770094,0.129112927,0.385066516,0.26058043,1.001414532,1.005126775,0.982692042,1.009432812,0.994319692,0.196207576,0.186006219,0.258201899,1.019688863,0.994601812,0.997728865,1.013180195,0.989240538,1.015194033,0.235620462
6067,0.48898144,0.509834251,0.435770094,0.129112927,0.385066516,0.26058043,1.001414532,1.005126775,0.982692042,1.009432812,0.994319692,0.196207576,0.186006219,0.258201899,1.019688863,0.994601812,0.997728865,1.013180195,0.989240538,1.015194033,0.235620462
6068,0.489456789,0.510441184,0.435195794,0.130424122,0.383390982,0.260753304,1.003727927,1.004453744,0.982139521,1.010306341,0.995954463,0.19849145,0.188557081,0.257716928,1.016971916,0.998579,1.002439697,1.010473905,0.990579965,1.015248978,0.235691357
6069,0.489456789,0.510441184,0.435195794,0.130424122,0.383390982,0.260753304,1.003727927,1.004453744,0.982139521,1.010306341,0.995954463,0.19849145,0.188557081,0.257716928,1.016971916,0.998579,1.002439697,1.010473905,0.990579965,1.015248978,0.235691357
6070,0.489456789,0.510441184,0.435195794,0.130424122,0.383390982,0.260753304,1.003727927,1.004453744,0.982139521,1.010306341,0.995954463,0.19849145,0.188557081,0.257716928,1.016971916,0.998579,1.002439697,1.010473905,0.990579965,1.015248978,0.235691357
6071,0.489456789,0.510441184,0.435195794,0.130424122,0.383390982,0.260753304,1.003727927,1.004453744,0.982139521,1.010306341,0.995954463,0.19849145,0.188557081,0.257716928,1.016971916,0.998579,1.002439697,1.010473905,0.990579965,1.015248978,0.235691357
6072,0.489456789,0.510441184,0.435195794,0.130424122,0.383390982,0.260753304,1.003727927,1.004453744,0.982139521,1.010306341,0.995954463,0.19849145,0.188557081,0.257716928,1.016971916,0.998579,1.002439697,1.010473905,0.990579965,1.015248978,0.235691357
6073,0.489456789,0.510441184,0.435195794,0.130424122,0.383390982,0.260753304,1.003727927,1.004453744,0.982139521,1.010306341,0.995954463,0.19849145,0.188557081,0.257716928,1.016971916,0.998579,1.002439697,1.010473905,0.990579965,1.015248978,0.235691357
6074,0.489875736,0.510085338,0.436385387,0.125487484,0.386444849,0.260667829,1.007524782,1.003410931,0.981907315,1.012285368,0.994815748,0.200284901,0.188281895,0.261268849,1.015145393,1.000526267,0.999164691,1.013204896,0.990111379,1.013758223,0.23689928
6075,0.489743034,0.509247233,0.435878986,0.128707495,0.388937605,0.258119817,1.009922308,1.002800401,0.98227113,1.011494769,0.993041814,0.200754008,0.19331535,0.261180419,1.016216254,1.000218077,0.997192723,1.012914068,0.992356524,1.014364041,0.237119042
6076,0.489743034,0.509247233,0.435878986,0.128707495,0.388937605,0.258119817,1.009922308,1.002800401,0.98227113,1.011494769,0.993041814,0.200754008,0.19331535,0.261180419,1.016216254,1.000218077,0.997192723,1.012914068,0.992356524,1.014364041,0.237119042
6077,0.489743034,0.509247233,0.435878986,0.128707495,0.388937605,0.258119817,1.009922308,1.002800401,0.98227113,1.011494769,0.993041814,0.200754008,0.19331535,0.261180419,1.016216254,1.000218077,0.997192723,1.012914068,0.992356524,1.014364041,0.237119042
6078,0.490216166,0.509604802,0.43542674,0.129683859,0.391113635,0.26134815,1.009199426,1.006028509,0.983654901,1.008919884,0.994169245,0.200906482,0.194926705,0.2587893,1.01800419,1.000658303,0.997629284,1.0141531,0.993268839,1.016915609,0.23704824
6079,0.49062052,0.509510234,0.436772365,0.127248542,0.392133847,0.260532826,1.006471256,1.002481482,0.982713943,1.006387539,0.993667253,0.199210092,0.196306111,0.256347639,1.018482541,1.000819901,0.998511161,1.014768879,0.994075972,1.015938364,0.235278717
6080,0.490423144,0.50911791,0.438670784,0.128847589,0.393770041,0.261202366,1.008833394,1.000956883,0.984485992,1.004887358,0.995735309,0.203712371,0.198828466,0.257491434,1.016590986,1.003523166,0.995472674,1.016236274,0.993302482,1.015161479,0.236466817
6081,0.490666014,0.509448849,0.438996046,0.12770157,0.392267089,0.266639379,1.008088898,1.001060414,0.982159401,1.004368583,0.993408118,0.203727823,0.200279832,0.255971503,1.018394149,1.002595622,1.000182102,1.018495128,0.992578706,1.015033528,0.237469724
6082,0.490652229,0.509076491,0.437098071,0.131262836,0.393252256,0.268292194,1.007271052,1.000797957,0.984317007,1.001933017,0.994215387,0.200114847,0.202560053,0.255886444,1.021137931,1.004438563,0.999584569,1.016698218,0.994388988,1.014044973,0.236357333
6083,0.490925916,0.508213892,0.439772944,0.131317077,0.395444306,0.268050879,1.008129409,1.002525082,0.985972821,1.003165385,0.990361652,0.198883527,0.20513943,0.255700361,1.02155431,1.004737782,0.99849976,1.016128486,0.992649374,1.016522716,0.234926614
6084,0.49038271,0.507853324,0.439485627,0.129827942,0.400381921,0.266026676,1.008365859,1.001477719,0.98448275,0.999095354,0.986823958,0.201627797,0.207058406,0.253635759,1.020880175,1.006106149,0.999338397,1.016774587,0.992628281,1.013751462,0.233903307
6085,0.49038271,0.507853324,0.439485627,0.129827942,0.400381921,0.266026676,1.008365859,1.001477719,0.98448275,0.999095354,0.986823958,0.201627797,0.207058406,0.253635759,1.020880175,1.006106149,0.999338397,1.016774587,0.992628281,1.013751462,0.233903307
6086,0.49038271,0.507853324,0.439485627,0.129827942,0.400381921,0.266026676,1.008365859,1.001477719,0.98448275,0.999095354,0.986823958,0.201627797,0.207058406,0.253635759,1.020880175,1.006106149,0.999338397,1.016774587,0.992628281,1.013751462,0.233903307
6087,0.49038271,0.507853324,0.439485627,0.129827942,0.400381921,0.266026676,1.008365859,1.001477719,0.98448275,0.999095354,0.986823958,0.201627797,0.207058406,0.253635759,1.020880175,1.006106149,0.999338397,1.016774587,0.992628281,1.013751462,0.233903307
6088,0.49039818,0.507790294,0.438183937,0.127345394,0.400869978,0.264166051,1.00626672,0.998399483,0.984079292,1.000393235,0.987920735,0.202824421,0.206793245,0.250794391,1.021359911,1.003937867,0.996170514,1.016344724,0.993201231,1.016099511,0.237045892
6089,0.490093764,0.50739407,0.439130893,0.129133821,0.401582359,0.262888729,1.008508484,0.995134573,0.987928702,0.998557746,0.988002681,0.204049406,0.204922373,0.251165831,1.020837501,1.005730576,0.993671209,1.015534178,0.991304779,1.019153078,0.238955167
6090,0.490767503,0.506932843,0.437605618,0.128432331,0.401068379,0.267246269,1.013703608,0.99703325,0.989871425,0.997443233,0.986062663,0.204395008,0.203404427,0.25371694,1.017936947,1.004756694,0.992476122,1.012950604,0.997514374,1.020900682,0.239470257
6091,0.489668884,0.506745246,0.437828641,0.126909899,0.402999147,0.267237945,1.014557922,0.997930987,0.993476467,0.997562505,0.98322523,0.205277211,0.20516604,0.252911974,1.016582026,1.006697704,0.993420084,1.012639434,0.999722029,1.021300829,0.237083231
6092,0.489668884,0.506745246,0.437828641,0.126909899,0.402999147,0.267237945,1.014557922,0.997930987,0.993476467,0.997562505,0.98322523,0.205277211,0.20516604,0.252911974,1.016582026,1.006697704,0.993420084,1.012639434,0.999722029,1.021300829,0.237083231
6093,0.48951974,0.507046646,0.437232104,0.128260737,0.399802673,0.268850868,1.012370419,0.997547563,0.992658865,0.996461003,0.982374295,0.208796182,0.203884549,0.252792967,1.014587589,1.008257367,0.993764344,1.012864259,0.998383629,1.021214721,0.236529089
6094,0.490067504,0.507438456,0.438180091,0.127713114,0.399217246,0.268777469,1.011968816,1.000992092,0.992770881,0.996654381,0.979964245,0.212848023,0.202097955,0.252887008,1.012674224,1.004847212,0.99408316,1.012651424,0.997172976,1.020181531,0.236793757
6095,0.490846461,0.507944008,0.438881686,0.129301679,0.399156393,0.269437794,1.014259799,1.000089245,0.991685952,0.998515701,0.982870464,0.211051311,0.203503609,0.254888549,1.012860799,1.00575433,0.989526471,1.01345256,0.99751111,1.014021279,0.236888966
6096,0.490846461,0.507944008,0.438881686,0.129301679,0.399156393,0.269437794,1.014259799,1.000089245,0.991685952,0.998515701,0.982870464,0.211051311,0.203503609,0.254888549,1.012860799,1.00575433,0.989526471,1.01345256,0.99751111,1.014021279,0.236888966
6097,0.490829471,0.508521364,0.438340905,0.13053471,0.397025791,0.271599368,1.015078844,1.001406348,0.989741986,0.99914925,0.983823459,0.212842071,0.202689878,0.252873184,1.013229435,1.006656456,0.989016796,1.011523139,0.997464287,1.012684968,0.23459378
6098,0.489848823,0.50780325,0.437403496,0.128825839,0.40160449,0.273774343,1.014697098,1.00126417,0.993832853,0.997486565,0.984432988,0.215077956,0.200918381,0.251602409,1.012330064,1.006781654,0.988338283,1.012944297,0.998121427,1.012443024,0.237258709
6099,0.489848823,0.50780325,0.437403496,0.128825839,0.40160449,0.273774343,1.014697098,1.00126417,0.993832853,0.997486565,0.984432988,0.215077956,0.200918381,0.251602409,1.012330064,1.006781654,0.988338283,1.012944297,0.998121427,1.012443024,0.237258709
6100,0.489719696,0.507688349,0.439777532,0.129606838,0.402913831,0.2736919,1.0177175,0.999160179,0.994421081,0.997555258,0.985139976,0.215078249,0.20221987,0.250942335,1.011510973,1.008731143,0.989001448,1.013293087,0.999318831,1.011124779,0.238175995
6101,0.49017879,0.507471164,0.437540046,0.130330063,0.401620174,0.277064397,1.015763131,1.001834431,0.99361522,0.998852212,0.987849787,0.215376446,0.207027701,0.249922314,1.013313028,1.007063287,0.987697534,1.011934932,0.999564832,1.012990355,0.236509463
6102,0.49017879,0.507471164,0.437540046,0.130330063,0.401620174,0.277064397,1.015763131,1.001834431,0.99361522,0.998852212,0.987849787,0.215376446,0.207027701,0.249922314,1.013313028,1.007063287,0.987697534,1.011934932,0.999564832,1.012990355,0.236509463
6103,0.49017879,0.507471164,0.437540046,0.130330063,0.401620174,0.277064397,1.015763131,1.001834431,0.99361522,0.998852212,0.987849787,0.215376446,0.207027701,0.249922314,1.013313028,1.007063287,0.987697534,1.011934932,0.999564832,1.012990355,0.236509463
6104,0.49017879,0.507471164,0.437540046,0.130330063,0.401620174,0.277064397,1.015763131,1.001834431,0.99361522,0.998852212,0.987849787,0.215376446,0.207027701,0.249922314,1.013313028,1.007063287,0.987697534,1.011934932,0.999564832,1.012990355,0.236509463
6105,0.49017879,0.507471164,0.437540046,0.130330063,0.401620174,0.277064397,1.015763131,1.001834431,0.99361522,0.998852212,0.987849787,0.215376446,0.207027701,0.249922314,1.013313028,1.007063287,0.987697534,1.011934932,0.999564832,1.012990355,0.236509463
6106,0.490230062,0.506720036,0.43806873,0.131763074,0.40248884,0.275483697,1.014960368,0.999808366,0.995088526,0.99900026,0.988765495,0.216269277,0.204865031,0.247336125,1.008883467,1.005556218,0.988861856,1.011398387,0.999747669,1.010108522,0.238249291
