iterations,0,1,2,3,4,5,6,7,8,9,10
6130,0.400449359,0.432387824,0.15254963,0.494710319,0.521511685,0.398643817,0.986922198,0.984971011,1.001229043,1.028395206,0.244582636
6131,0.400449359,0.432387824,0.15254963,0.494710319,0.521511685,0.398643817,0.986922198,0.984971011,1.001229043,1.028395206,0.244582636
6132,0.400403798,0.432277425,0.153639122,0.489391228,0.522114222,0.398229187,0.986979269,0.987978417,0.999871897,1.024938184,0.244551847
6133,0.400905631,0.431490897,0.151587145,0.489475282,0.523975332,0.395897112,0.987511011,0.986455371,0.9968455,1.029836926,0.241110028
6134,0.399719927,0.430028868,0.147829041,0.489399848,0.524639342,0.396301099,0.986066814,0.987088004,0.996958766,1.0272359,0.243766484
6135,0.399600127,0.429755645,0.149648139,0.489713091,0.524271684,0.391001097,0.989580118,0.983678073,0.995614832,1.028351664,0.249138381
6136,0.399600127,0.429755645,0.149648139,0.489713091,0.524271684,0.391001097,0.989580118,0.983678073,0.995614832,1.028351664,0.249138381
6137,0.399140876,0.429591221,0.150374723,0.488674999,0.524740231,0.390171743,0.989587366,0.98531946,0.99890062,1.028097584,0.248380373
6138,0.398714698,0.428570293,0.15431046,0.490406214,0.527802836,0.388340504,0.986900041,0.985921424,1.00020136,1.026771972,0.242480114
6139,0.398739084,0.429046474,0.155715676,0.485883864,0.524677015,0.393713947,0.986855801,0.98174127,0.997869133,1.021724531,0.245845726
6140,0.398791141,0.429025502,0.154276951,0.489900689,0.525369829,0.395006903,0.987961966,0.983737338,0.999750895,1.024162029,0.247622173
6141,0.398791141,0.429025502,0.154276951,0.489900689,0.525369829,0.395006903,0.987961966,0.983737338,0.999750895,1.024162029,0.247622173
6142,0.399039091,0.429445294,0.155180356,0.492905791,0.520369119,0.394071283,0.989566828,0.979176323,0.999108388,1.021440716,0.246311096
6143,0.399039091,0.429445294,0.155180356,0.492905791,0.520369119,0.394071283,0.989566828,0.979176323,0.999108388,1.021440716,0.246311096
6144,0.399315314,0.429219225,0.158103506,0.488778817,0.51838407,0.393724166,0.991697545,0.980134555,1.001513164,1.014920329,0.248675501
6145,0.399950195,0.428253128,0.157154137,0.486396832,0.518438136,0.395240573,0.990568745,0.983220178,1.000952575,1.015098197,0.248996783
6146,0.399950195,0.428253128,0.157154137,0.486396832,0.518438136,0.395240573,0.990568745,0.983220178,1.000952575,1.015098197,0.248996783
6147,0.399950195,0.428253128,0.157154137,0.486396832,0.518438136,0.395240573,0.990568745,0.983220178,1.000952575,1.015098197,0.248996783
6148,0.399865905,0.428909511,0.15738655,0.483814282,0.519469926,0.399026316,0.987299635,0.981051671,1.002473986,1.016531818,0.248089976
6149,0.399301568,0.428499184,0.161159824,0.487434434,0.519688277,0.399327386,0.988594917,0.985943476,1.002849679,1.013122287,0.244139374
6150,0.399044917,0.428827957,0.160854629,0.489400665,0.520969286,0.399892163,0.985346829,0.982123307,1.001377467,1.01825211,0.237465693
